Transcript,Confidence,Label
"o/ b/ 그니까* 별로 회사가 없는 거야. 회산 없는데 b/ 기업들이 그런 마케팅을 원하는데 b/ 대기업 같은 경우는 진짜 큰 회사를 잡아서 마케팅을 하고 막 하잖아. 뭔가 이게* 광고를. b/ 근데 작은 회사들은 그런 돈이 없으니까 자금 자체가 없으니까 b/ 그런 작은+ 작은 회사가 많이 생기면은 엄청 수요가 많은 거지. n/ 그니까* 되게 블루오션이야. 그쪽에. b/ 그래서* 그 오빠가 진짜 빠르게 잘 판 거야. 내가* 생각했을 때는. n/
",,0
"o/ 나 그런 거 있어. 얘네들은 진짜 머리 회+ 그/ 사고 회로가 b/ 페이스북을 하는 애들은 좀 남다르게 돌아가나? 생각이 싶어서 b/ 나 대학교 이후로 대학교 (1학년)/(일 학년) 때 이후로 페이스북 안 했는데, b/ 약간 그런 게 있어 약간 페이스북 하는 애들 쫌/ b/ 뭐라 해야 되지? 별로 멋없어 보인다? 응. 멋없+ 근데 b/ 내가 그때 페이스북은 되게 멋이 없어 보였는데 인스타그램은 왜 이렇게 멋있어 보이는지 모르겠는 거야. b/
",,0
"어. 그래서 나는 그냥 야, 진짜 뭐/ 그래도+ 안 그래도 우리 mt 갔을 때 얘기했거든. mt 갔어도* 그때 또 이거+ 하고+ 있더라+ 하나가 선배들한테 이거 하고 있더라고 그서 내가 b/ 너무 화가 나. 근까 물론 내 잘못도 아예 없진 않겠지 내가+ 부족하니까 나도 사람이니까. 근데 정말 쏙 빼놓고 얘길 하니까 자기가 한 거는. 그래서 내가+ 그때 우리 이제 얘기했던 게 b/ 어차피+ 나는+ 내가 그랬지. 어차피 우리 졸업하고 안 볼 거 아니냐, 따로.
",,0
"취업을 목적으로 좀 간 것도 있기 때문에 그냥 나는 가서 지금이라도 좀 빨리하는 게 낫지 않나 싶기도 해. 왜냐면은 이제 그/ 학교를 가면은 내가 볼 때는. 근데 내 친구도 그/ 학교 다니는데 과가 군대 갔다 왔더니 과가 없어졌다 하더라고 그래서 다른 과랑 합쳐졌대. 그래서 (1학년)/(일 학년) 다니고 갔는데, (1학년)/(일 학년)부터 다시 다녔대. 근데 b/ 걔 과는 이상한 과였어. 무슨 해양 뭐/ 이상한 뭐 그런 과였거든.
",,0
"(5, 3)/(오 삼)인가? (5, 4)/(오 산)가 그래. b/ 근데 b/ 모르겠어. (3. 2)/(삼 점 이)나 이 정도면은 뭐라고 할 순 있겠지? 대신에 b/ 방어 논리만 있으면 된다고 생각을 해. b/ 학점이 낮다고 막 엄청 낮은 게 아니잖아. 그 정도는. 그니까 뭘+ 하+ 뭐+ 뭐에 더 관심이 있었고 b/ 그거에 확실히 열심히 열정을 발휘해서 그 과정에서는 b/ 학점을 챙기지 못했다* 이래야 되는 건데 b/ 근데 뭘 확실히 안 하면서 학점까지 안 했으면은 b/ 그 사람들이 싫어하겠지?
",,0
"b/ 데* 다른 아니 다른 반도 까는 걸 봤어. 그래서 아/ 깔아도 되는구나. 그러고 자다가 이제* (1교시)/(일 교시)에는 우리가 영어가 되게 많아서 그래서 아/ b/ 뭐 그러면 (1교시)/(일 교시)에는 그냥 버티다가 애들 (2교시)/(이 교시) 때부터 그러게 깔고 잤는데 어떤 날이 (3교시)/(삼 교시)가 영언데 그거 갑자기 자다가 애들 이제 들켜갖고 돗자리 뺐겠다고, 서* 방학식 날 주겠다고 하더니 지금 방학 지난 지 며칠이나 됐죠? l/
",,0
"o/ 뭐* 할 수 없지. 그서 b/ 사실은 다른 사람한테 한번 알아봐 달라고 했거든. 승아 아는 같은 반 엄마가 있는데 b/ 그 엄마가 그/ 교복 나눔 행사를 했대 벌써. (2)/(이), (3학년)/(삼 학년) 대상으로. b/ 근데 승아가 말을 안 해가지고 씨* 그 엄마 아는 사람이 있으니까 부탁만 하면 바로 빼낼 수 있는데 b/ 얘가 말을 안 했더라고. 그서 b/ 나중에 전화해서 b/ 한번 얘기는 했어. 승준이 사이즈랑 이런 걸 얘기해서 b/ 부탁은 해놨어. 근데 지금 아직 말이 없어서 b/
",,0
"편입은 편입은 힘들지. 왜냐면은 편입을 할라면은 빵꾸가 나야지. 이제 거기를 메꿀라고 편입을 하는 건데, 보통. 원래 그 학교에 있는 인원이 빠져가지고 빈자리가 생기면은 이제 편입을 구하는 걸로 알고 있거든. 근데 우리 학교도 편입생 꽤 많아. 근데 대부분 편입생들 다 나이 많아. b/ 스물 아홉살도 있고 스물 여섯살도 있고 뭐/ 스물여섯살이면 너랑 좀 비슷하지. 결혼해서 애도 있고 아줌마도 오고 막 서른 (30대)/(삼십 대) 초반까지 와.
",,0
"지금 하는데 열심히 안 해, 이게 마음은 음+ 어+ 인제 끝났으니까 인제 몸 만드는 운동을 쫌/ 해보자 약간 이런 생각이었거든, b/ 근데 이게 끝나니까, u/ 그냥, 하루 죙일 운동하다게+ 운데+ 운동하는 게 끝나니까 혼자 찾아서 할라니까 하기가 싫어. b/ 하루 종일 누워있어, 거의. 알바하기 전까지. b/ 헬스장 가서도 찜질방 u/ 헬스장 이케 사우나 있거든, b/ 사우나 가서 누워있고 안마의자 좀 받고, 한 한 시간 반 한/ 운동하고, b/ 런닝은 절대 안 해.
",,0
"b/ 그렇게 되+ 그렇게 되면은 늦게 나오는 거는 b/ 미리 예약 손님을 받아서 예약 손님 만약에 자리가 꽉 차는 피크 시간대들 있잖아. 그런 사람들한테 예약손님을 받고, 그 예약 손님들이 b/ 이제 거기다 웨이팅 하면서 이렇게 자기 이름 적고, 번호 적고, 그 다음에 b/ 무슨 메뉴 먹을 거까지 적어달+ 적어주면 감사합니다라고 해놓으면은* 적는 사람이 있고, 나중에 와서 골르면 안 될까요 하믄 하는 사람이 있으면 그럼 사람한테 골르면 되고 대충에 어느 정도 양이 되잖아.
",,0
