transcript_en,label,length,transcript_clean_en,length_transcript_clean_en,corpus_en,length_corpus_en
"시간 있으세요? 어디에서 만나죠? 괜찮아요? 당신 주변에서 제가 감정적인 사람을 본 적이 있나요. 당신은 당신의 이름으로 들어갔습니까? 방금 박종원에게 전화를 걸었던 박철호 수사관입니다. 다름이 아니라 1월경에 일당을 체포해 2010원을 받고 있습니다. 가짜 통장의 체크카드가 현장에서 제거됐는데, 해주실 건가요? 고객님 명의의 농협은행 9호 법인계좌에 발견되어 확인차 연락드립니다. Yee의 은행 계좌의 해당 은행에 확인한 결과. 필리핀 마닐라에서 불법 도박 사이트 자금 2천만 원이 인출될 것이라는 연관성이 있다는 것을 알고 계십니까? 앞서 말씀드린 것처럼 은행에 협조 공문을 요청했고, 그 결과 2014년 12월 17일 영등포구에서 통장이 본인 명의로 불을 켜게 됐습니다. 사인으로 열어보셨는데 본인 청구서는 전혀 모르시나요? 난 그걸 안 좋아해요. 신안 날씨. 오늘은 앞으로 2가 절대적으로 그렇게 되는 이유가 성당인지 아니면 일정대로 판매된 것인지 확인차 연락을 드리기 때문입니다. 당신은 당신의 은행 계좌를 판매하고 있습니까, 아니면 거래하고 있습니까? 만약 당신이 내 개인정보를 유출해서 만들어졌다면, 당신은 말 그대로 이타적인 금전적 피해를 입을 수 있습니다. 네, 저희가 수사를 하고 있다면 지금 전화로 진행되고 있는 온라인 소환 조사를 직접적으로 즐길 수는 없을 것이고, 강도 높은 소환 조사는 바로 중단될 것입니다. 하지만 당신이 관련이 없는 피해자라면요. 내일 향일암 불미스러운 사건에 대해서 책임지실 필요는 없습니다만, 피해자인지 가해자인지 조사하기 위해 몇 가지 질문을 드리겠습니다. 네, 전반적인 질문이 좋습니다. 저는 계속 기록 중이니 제출된 서류 제출에 참여해주시기 바랍니다. 그냥 당신이 한 말을 나에게 말해주면 됩니다.",1,869,시간 있으세요 어디에서 만나죠 괜찮아요 당신 주변에서 제가 감정적인 사람을 본 적이 있나요 당신은 당신의 이름으로 들어갔습니까 방금 박종원에게 전화를 걸었던 박철호 수사관입니다 다름이 아니라 1월경에 일당을 체포해 2010원을 받고 있습니다 가짜 통장의 체크카드가 현장에서 제거됐는데 해주실 건가요 고객님 명의의 농협은행 9호 법인계좌에 발견되어 확인차 연락드립니다 Yee의 은행 계좌의 해당 은행에 확인한 결과 필리핀 마닐라에서 불법 도박 사이트 자금 2천만 원이 인출될 것이라는 연관성이 있다는 것을 알고 계십니까 앞서 말씀드린 것처럼 은행에 협조 공문을 요청했고 그 결과 2014년 12월 17일 영등포구에서 통장이 본인 명의로 불을 켜게 됐습니다 사인으로 열어보셨는데 본인 청구서는 전혀 모르시나요 난 그걸 안 좋아해요 신안 날씨 오늘은 앞으로 2가 절대적으로 그렇게 되는 이유가 성당인지 아니면 일정대로 판매된 것인지 확인차 연락을 드리기 때문입니다 당신은 당신의 은행 계좌를 판매하고 있습니까 아니면 거래하고 있습니까 만약 당신이 내 개인정보를 유출해서 만들어졌다면 당신은 말 그대로 이타적인 금전적 피해를 입을 수 있습니다 네 저희가 수사를 하고 있다면 지금 전화로 진행되고 있는 온라인 소환 조사를 직접적으로 즐길 수는 없을 것이고 강도 높은 소환 조사는 바로 중단될 것입니다 하지만 당신이 관련이 없는 피해자라면요 내일 향일암 불미스러운 사건에 대해서 책임지실 필요는 없습니다만 피해자인지 가해자인지 조사하기 위해 몇 가지 질문을 드리겠습니다 네 전반적인 질문이 좋습니다 저는 계속 기록 중이니 제출된 서류 제출에 참여해주시기 바랍니다 그냥 당신이 한 말을 나에게 말해주면 됩니다,837,시간 으세요 어디 에서 만나 괜찮 아요 당신 주변 에서 감정 사람 나요 당신 당신 으로 들어갔 습니까 방금 박종원 에게 전화 박철호 수사관 입니다 다름 아니 일당 체포 2010 습니다 통장 체크카드 현장 에서 제거 건가요 고객 명의 농협 법인 계좌 발견 확인 연락 드립니다 Yee 계좌 해당 확인 결과 필리핀 마닐라 에서 불법 도박 사이트 자금 천만 인출 라는 연관 다는 계십니까 앞서 말씀 드린 처럼 협조 공문 요청 결과 2014 12 17 영등 포구 에서 통장 본인 명의 습니다 사인 으로 본인 청구서 전혀 모르 나요 그걸 해요 신안 날씨 오늘 으로 절대 으로 그렇게 성당 인지 아니 일정 대로 판매 인지 확인 연락 드리 때문 입니다 당신 당신 계좌 판매 습니까 거래 습니까 만약 당신 개인 정보 유출 해서 만들 다면 당신 그대로 금전 피해 습니다 저희 수사 다면 지금 전화 진행 온라인 소환 조사 직접 으로 즐길 소환 조사 바로 중단 입니다 하지만 당신 관련 피해자 라면 내일 향일암 불미 스러운 사건 대해서 책임 지실 필요 습니다 피해자 인지 인지 조사 위해 질문 드리 습니다 전반 질문 습니다 계속 기록 제출 서류 제출 참여 바랍니다 그냥 당신 에게,592
"네이버 중고나라 사이트 아시죠? 대구에 한 곳이 있습니다. 알고 있죠? 김재원 씨는 현장에서 헐값에 나라 물건을 팔기 위해 매물을 내놓았고, 제일은행 통장에 입금하는 과정에서 피해자들이 잠적해 일을 많이 했습니다. 현재 180만 원이 넘는 돈은 멜로디 가족뿐입니다. 이 사건 1층에 현미가 있다면 현재 구속영장 발부로 구속 상태입니다. 여기서 첫 번째는 1년 반 동안 통신기록이 처리됐을 때 김병근 씨의 통화내역이나 문자메시지 내역이 발견되지 않았기 때문에 올인원은 아니라고 봅니다. 제가 전체 상황을 기록하는 것을 도와드리겠습니다. 제 말 무슨 뜻인지 아시겠어요? 9일에 동의하십니까?",1,328,네이버 중고나라 사이트 아시죠 대구에 한 곳이 있습니다 알고 있죠 김재원 씨는 현장에서 헐값에 나라 물건을 팔기 위해 매물을 내놓았고 제일은행 통장에 입금하는 과정에서 피해자들이 잠적해 일을 많이 했습니다 현재 180만 원이 넘는 돈은 멜로디 가족뿐입니다 이 사건 1층에 현미가 있다면 현재 구속영장 발부로 구속 상태입니다 여기서 첫 번째는 1년 반 동안 통신기록이 처리됐을 때 김병근 씨의 통화내역이나 문자메시지 내역이 발견되지 않았기 때문에 올인원은 아니라고 봅니다 제가 전체 상황을 기록하는 것을 도와드리겠습니다 제 말 무슨 뜻인지 아시겠어요 9일에 동의하십니까,317,네이버 중고 나라 사이트 대구 습니다 김재원 현장 에서 나라 물건 위해 매물 내놓 제일은행 통장 입금 과정 에서 피해자 잠적 많이 습니다 현재 180 멜로디 입니다 사건 현미 다면 현재 구속영장 발부 구속 상태 입니다 여기 동안 통신 기록 처리 김병근 통화 내역 문자 메시지 내역 발견 때문 올인원 아니 라고 봅니다 전체 상황 기록 도와 드리 습니다 무슨 인지 어요 동의,207
"안녕하세요 안녕하세요 아 네, 기간은 5년 7080 bad입니다. 지금도 매일 363,255 r2800 정부 지원 자금이 국민의 세금을 빌리는데 사용될 것입니다. 말할 것도 없이, 당신은 확진자입니다. 네, 그래서 당신이 중요하게 나온 거예요. 그리고 공증 들어가려면 2시간정도 술마시고 그냥 하세요 그리고 공증받자마자 1,800만원의 송금이 되는데 또 뭐가 재미있나요? 약 2802... 저기, 나중에 물건을 받더라도 신청할 수 있습니다.",1,246,안녕하세요 안녕하세요 아 네 기간은 5년 7080 bad입니다 지금도 매일 363255 r28 정부 지원 자금이 국민의 세금을 빌리는데 사용될 것입니다 말할 것도 없이 당신은 확진자입니다 네 그래서 당신이 중요하게 나온 거예요 그리고 공증 들어가려면 2시간정도 술마시고 그냥 하세요 그리고 공증받자마자 18만원의 송금이 되는데 또 뭐가 재미있나요 약 2802 저기 나중에 물건을 받더라도 신청할 수 있습니다,227,안녕 세요 안녕 세요 기간 7080 bad 입니다 지금 매일 363255 28 정부 지원 자금 국민 세금 빌리 사용 입니다 없이 당신 확진 입니다 그래서 당신 중요 나온 예요 그리고 공증 들어가 려면 시간 정도 마시 그냥 세요 그리고 공증 자마자 18 송금 재미있 나요 2802 저기 나중 물건 더라도 신청,171
" 본인이 직접 갚아야 할 경우에는 그 내용이 포함됩니다. 또한 5002,029 Ya의 공증비용은 3개월간 연체하지 않으면 환불되지만, 연체할 경우 50만원의 공증비용을 국내에서 수령하지 못할 수 있습니다. 참고해 주시기 바랍니다. 기회가 된다면, 당신은 2,000원을 받을 수 없습니다. 오, 정말이요? 그리고 국민은행 1일 입금 처리 후 계약서 원본을 팩스로 보내드릴까요?",1,209, 본인이 직접 갚아야 할 경우에는 그 내용이 포함됩니다 또한 52029 Ya의 공증비용은 3개월간 연체하지 않으면 환불되지만 연체할 경우 50만원의 공증비용을 국내에서 수령하지 못할 수 있습니다 참고해 주시기 바랍니다 기회가 된다면 당신은 2원을 받을 수 없습니다 오 정말이요 그리고 국민은행 1일 입금 처리 후 계약서 원본을 팩스로 보내드릴까요,193,본인 직접 아야 경우 내용 포함 됩니다 또한 52029 Ya 공증 비용 개월 연체 으면 환불 지만 연체 경우 50 공증 비용 국내 에서 수령 못할 습니다 참고 바랍니다 기회 된다면 당신 습니다 정말 그리고 국민은행 입금 처리 계약서 원본 팩스 보내,138
 다른 멤버들은 지금 당장은 안 되는데 언제쯤 가능할까요.,1,32, 다른 멤버들은 지금 당장은 안 되는데 언제쯤 가능할까요,31,다른 멤버 지금 당장 언제,14
  영업사원과 얘기하면 보너스 같은 걸 줄 거예요. 요즘은 후드티를 살 수 있는 서류를 첨부해서 작은 것을 구할 수 있습니다. 공증을 받거나 공중병에 들어가지 마세요. 판매원을 보내서 고객님께 말씀드리세요!,1,115,  영업사원과 얘기하면 보너스 같은 걸 줄 거예요 요즘은 후드티를 살 수 있는 서류를 첨부해서 작은 것을 구할 수 있습니다 공증을 받거나 공중병에 들어가지 마세요 판매원을 보내서 고객님께 말씀드리세요,111,영업 사원 얘기 보너스 예요 요즘 후드 서류 첨부 해서 구할 습니다 공증 거나 공중 들어가 마세요 판매원 보내 고객 말씀 드리,70
  그쪽으로 전화해주세요. 소득 증명 계좌의 거래 내역을 뒤에서 보내주시고 작업장에서 오전을 보내주세요.,1,58,  그쪽으로 전화해주세요 소득 증명 계좌의 거래 내역을 뒤에서 보내주시고 작업장에서 오전을 보내주세요,56,그쪽 으로 전화 세요 소득 증명 계좌 거래 내역 에서 보내 작업장 에서 오전 보내,45
"제가 어렸을 때부터, 저는 당신의 오빠가 어머니의 목소리를 마지막으로 듣고 싶어해서 그에게 전화했습니다. 그에게 전화하는 게 잘못된 건가요. 이 자식아
그래서 저는 ""어떻게 해야 할까요?""
당신은?
그래서 엄마를 어떻게 해야 할까요
만약 당신이 당신의 엄마와 여동생을 구하고 싶다면, 당신은 당신이 원하는 것을 무엇이든 할 수 있습니다
그래서 당신은 무엇을 원합니까
당신이 원하는 것은 돈입니다
얼마를 원하십니까
500달러가 필요합니다. 때리지 마, 이 자식아. 지금은 나를 건드리지 마. 나한테 칼을 대지 마.
네, 돈, 그래서 당신은 무엇을 원합니까. 제가 무엇을 해야 하는지요
변경해 보십시오
어머니가 쓰러지셨어요
떨어졌나요?
네.
좋아요. 그럼 제가 칼을 들고 손가락을 하나씩 자르겠습니다. 눈을 파, 응? 제가 동영상을 찍어서 당신에게 넣어드리겠습니다. 나를 봐요
아니요.
어떻게 죽여야 할지 모르겠어요
아니요. 돈은 어떻게 해드릴까요?
저를 위해 그것을 해줄 수 있습니까?
네.
(삐-) 제가 우리 집에 전화를 걸자, 그녀의 엄마와 아빠가 전화를 받았고, 그녀의 엄마와 아빠가 전화를 받았습니다.
당신에게 돈을 보내겠습니다
근데 저기.
좋아요.
모바일뱅킹으로 500원을 바로 줘서 차로 보내려고 했습니다
네.
그는 그것을 보고 말했습니다. ""응? 우리 엄마 아빠도 그렇게 해줄 수 있어요. 그래서 (삐-) 저는 제 자신을 찌르지 않았습니다. 네 형을 때리지 않을 거야, 얘야
제가 해드릴 수 있어요
저를 위해 그것을 해줄 수 있습니까?
네.
제 계좌번호를 알려드릴까요
네, 잠시만요. 정리가 안 돼요
엄마에게 메모를 하세요. 알았어요.
네.
기업 은행.
네. 기업은행입니다
머리를 쳐, 이 자식아. 움직이면 죽어요. 이 자식아
기업은행
당신은 그것을 어떻게 보낼 것입니까
은행 송금으로 지불하겠습니다
계좌이체 시 모바일뱅킹, 텔레뱅킹, 인터넷뱅킹 중 어느 것으로 보내시겠습니까. 이 자식아
제가 가서 보내야 합니다
어느 은행
현금인출기에 가서 보내야 합니다
보낸다고요? 어머니한테서 온 거예요? 누가 보내는 거지?
보내겠습니다
보내주실 수 있나요?
좋아요.
당신은 나에게 보낼 돈이 있습니까
네.
약속해요
(삐) 맞나요
네, 하지만 현금 자동 인출기와 은행에 가서 현금을 저에게 이체하겠다고 하셨잖아요
네.
얼마나 걸리나요
우리 집 근처에 농협이 있습니다. 도보로 약 5~6분 소요
네 엄마는 뭔가를 하고 있어
엄마는 울고 있습니다
울고 있으면 옆에 가만히 앉아 있으라고 하세요
가만히있어요. 당신은 아무것도 하지 않습니다
만에 하나
네.
안녕하세요. 성함이 어떻게 되시죠
삐삐야
삐삐야
네.
당신은 그에게 남자 대 남자로 약속을 지킬 수 있습니까
네. 제 동생의 목소리를 들려주실 수 있나요? 듣고 싶어요
제 목소리를 더 크게 하겠습니다
네.
먼저 그에게 약속하세요
네, 약속해요
내가 해주지는 않겠지만, 당신은 아무에게도 당신이 다쳤다는 것을 말하지 않았습니다
네.
남자 대 남자로, 그는 나에게 그를 돌봐달라고 부탁했습니다
네, 네, 네.
나는 당신과의 약속을 지키지 않을 것이고 당신의 형에게 칼을 대지 않을 것입니다
그렇죠?
네네. 좋아요.
엄마, 바꿔요
안녕하세요.
엄마 좀 바꿔주세요
별로인데요.
와.
하지만 그의 말투는",1,1592,제가 어렸을 때부터 저는 당신의 오빠가 어머니의 목소리를 마지막으로 듣고 싶어해서 그에게 전화했습니다 그에게 전화하는 게 잘못된 건가요 이 자식아 그래서 저는 어떻게 해야 할까요 당신은 그래서 엄마를 어떻게 해야 할까요 만약 당신이 당신의 엄마와 여동생을 구하고 싶다면 당신은 당신이 원하는 것을 무엇이든 할 수 있습니다 그래서 당신은 무엇을 원합니까 당신이 원하는 것은 돈입니다 얼마를 원하십니까 5달러가 필요합니다 때리지 마 이 자식아 지금은 나를 건드리지 마 나한테 칼을 대지 마 네 돈 그래서 당신은 무엇을 원합니까 제가 무엇을 해야 하는지요 변경해 보십시오 어머니가 쓰러지셨어요 떨어졌나요 네 좋아요 그럼 제가 칼을 들고 손가락을 하나씩 자르겠습니다 눈을 파 응 제가 동영상을 찍어서 당신에게 넣어드리겠습니다 나를 봐요 아니요 어떻게 죽여야 할지 모르겠어요 아니요 돈은 어떻게 해드릴까요 저를 위해 그것을 해줄 수 있습니까 네 삐 제가 우리 집에 전화를 걸자 그녀의 엄마와 아빠가 전화를 받았고 그녀의 엄마와 아빠가 전화를 받았습니다 당신에게 돈을 보내겠습니다 근데 저기 좋아요 모바일뱅킹으로 5원을 바로 줘서 차로 보내려고 했습니다 네 그는 그것을 보고 말했습니다 응 우리 엄마 아빠도 그렇게 해줄 수 있어요 그래서 삐 저는 제 자신을 찌르지 않았습니다 네 형을 때리지 않을 거야 얘야 제가 해드릴 수 있어요 저를 위해 그것을 해줄 수 있습니까 네 제 계좌번호를 알려드릴까요 네 잠시만요 정리가 안 돼요 엄마에게 메모를 하세요 알았어요 네 기업 은행 네 기업은행입니다 머리를 쳐 이 자식아 움직이면 죽어요 이 자식아 기업은행 당신은 그것을 어떻게 보낼 것입니까 은행 송금으로 지불하겠습니다 계좌이체 시 모바일뱅킹 텔레뱅킹 인터넷뱅킹 중 어느 것으로 보내시겠습니까 이 자식아 제가 가서 보내야 합니다 어느 은행 현금인출기에 가서 보내야 합니다 보낸다고요 어머니한테서 온 거예요 누가 보내는 거지 보내겠습니다 보내주실 수 있나요 좋아요 당신은 나에게 보낼 돈이 있습니까 네 약속해요 삐 맞나요 네 하지만 현금 자동 인출기와 은행에 가서 현금을 저에게 이체하겠다고 하셨잖아요 네 얼마나 걸리나요 우리 집 근처에 농협이 있습니다 도보로 약 56분 소요 네 엄마는 뭔가를 하고 있어 엄마는 울고 있습니다 울고 있으면 옆에 가만히 앉아 있으라고 하세요 가만히있어요 당신은 아무것도 하지 않습니다 만에 하나 네 안녕하세요 성함이 어떻게 되시죠 삐삐야 삐삐야 네 당신은 그에게 남자 대 남자로 약속을 지킬 수 있습니까 네 제 동생의 목소리를 들려주실 수 있나요 듣고 싶어요 제 목소리를 더 크게 하겠습니다 네 먼저 그에게 약속하세요 네 약속해요 내가 해주지는 않겠지만 당신은 아무에게도 당신이 다쳤다는 것을 말하지 않았습니다 네 남자 대 남자로 그는 나에게 그를 돌봐달라고 부탁했습니다 네 네 네 나는 당신과의 약속을 지키지 않을 것이고 당신의 형에게 칼을 대지 않을 것입니다 그렇죠 네네 좋아요 엄마 바꿔요 안녕하세요 엄마 좀 바꿔주세요 별로인데요 와 하지만 그의 말투는,1494,어렸 부터 당신 오빠 어머니 목소리 마지막 으로 해서 에게 전화 습니다 에게 전화 잘못 건가요 자식 그래서 어떻게 해야 할까요 당신 그래서 엄마 어떻게 해야 할까요 만약 당신 당신 엄마 여동생 구하 다면 당신 당신 무엇 습니다 그래서 당신 무엇 원합 니까 당신 입니다 얼마 원하 십니까 달러 필요 합니다 때리 자식 지금 건드리 한테 그래서 당신 무엇 원합 니까 무엇 해야 변경 십시오 어머니 쓰러지 어요 떨어졌 나요 아요 그럼 손가락 하나 자르 습니다 동영상 어서 당신 에게 드리 습니다 봐요 어떻게 죽여야 할지 모르 어요 어떻게 해드릴까요 위해 그것 습니까 우리 전화 그녀 엄마 아빠 전화 그녀 엄마 아빠 전화 습니다 당신 에게 보내 습니다 근데 저기 아요 모바일 뱅킹 으로 바로 줘서 보내 려고 습니다 그것 습니다 우리 엄마 아빠 그렇 어요 그래서 자신 찌르 습니다 때리 얘야 드릴 어요 위해 그것 습니까 계좌 번호 알려 드릴까요 잠시 만요 정리 돼요 엄마 에게 메모 세요 어요 기업 기업 입니다 머리 자식 움직이 어요 자식 기업 당신 그것 어떻게 보낼 입니까 송금 으로 지불 습니다 계좌 모바일 뱅킹 텔레 뱅킹 인터넷 뱅킹 어느 으로 보내 습니까 자식 보내 합니다 어느 현금 인출 보내 합니다 보낸다고 어머니 한테서 예요 누가 보내 보내 습니다 보내 나요 아요 당신 에게 보낼 습니까 약속 해요 나요 하지만 현금 자동 인출 현금 에게 다고 셨잖아요 얼마나 걸리 나요 우리 근처 농협 습니다 도보 56 소요 엄마 뭔가 엄마 습니다 으면 으라고 세요 어요 당신 아무것 습니다 하나 안녕 세요 성함 어떻게 삐삐 삐삐 당신 에게 남자 남자 약속 지킬 습니까 동생 목소리 들려 나요 어요 목소리 습니다 먼저 에게 약속 세요 약속 해요 지만 당신 아무 에게 당신 다쳤 다는 습니다 남자 남자 에게 돌봐 라고 부탁 습니다 당신 약속 지키 당신 에게 입니다 그렇 네네 아요 엄마 바꿔요 안녕 세요 엄마 바꿔 세요 별로 인데요 하지만,964
"안녕하세요, 서울중앙지검 김정현 수사관입니다.네, 안녕하세요. 네, 네, 네. 안녕하세요. 개인정보 유출 관련해서 몇 가지 확인차 전화드렸습니다.전라도에 사는 42세 남성 이성민 씨를 아시나요?아뇨, 모르겠어요.이성민 씨를 중심으로 한 금융범죄 사기단을 검거했을 때 현장에서 우리은행 통장 1개와 하나은행 통장 1개가 발견됐습니다. 당신은 그 은행 계좌에 대해 아는 것이 있습니까?아니요, 없어요. 네. 저희가 확인해보니 2016년 9월에 경기도 광명에서 발행이 되었는데 직접 수령하지 않으셨나요?",1,278,안녕하세요 서울중앙지검 김정현 수사관입니다네 안녕하세요 네 네 네 안녕하세요 개인정보 유출 관련해서 몇 가지 확인차 전화드렸습니다전라도에 사는 42세 남성 이성민 씨를 아시나요아뇨 모르겠어요이성민 씨를 중심으로 한 금융범죄 사기단을 검거했을 때 현장에서 우리은행 통장 1개와 하나은행 통장 1개가 발견됐습니다 당신은 그 은행 계좌에 대해 아는 것이 있습니까아니요 없어요 네 저희가 확인해보니 2016년 9월에 경기도 광명에서 발행이 되었는데 직접 수령하지 않으셨나요,260,안녕 세요 서울 중앙 지검 김정현 수사관 입니다 안녕 세요 안녕 세요 개인 정보 유출 관련 해서 확인 전화 드렸 습니다 전라도 42 남성 나요 아뇨 모르 어요 중심 으로 금융 범죄 기단 검거 현장 에서 우리은행 통장 하나 통장 발견 습니다 당신 계좌 대해 습니까 어요 저희 확인 2016 경기도 광명 에서 발행 직접 수령 으셨,182
"네, 알겠어요. 여기는 농협캐피탈입니다. 대출 조건이 완화되어 어제 연락드렸습니다만, 이자율이 맞다면 상환할 자금이나 필요한 자금이 있나요?",1,78,네 알겠어요 여기는 농협캐피탈입니다 대출 조건이 완화되어 어제 연락드렸습니다만 이자율이 맞다면 상환할 자금이나 필요한 자금이 있나요,73,어요 여기 농협 캐피탈 입니다 대출 조건 완화 어제 연락 드렸 습니다 자율 다면 상환 자금 필요 자금,56
