feature_type,method,alpha,tau,f1,precision,recall,accuracy,fpr,tp,tn,fp,fn,n_alerted_tp,n_vishing,frac_alerted_before_end,mean_alert_latency,median_alert_latency,p95_alert_latency
egemaps,ema,0.3,0.3,0.993006993006993,0.9861111111111112,1.0,0.9929577464788732,0.014084507042253521,71,70,1,0,71,71,1.0,7.236873239436619,7.515,11.7725
egemaps,running_max,,0.9,0.9861111111111112,0.9726027397260274,1.0,0.9859154929577465,0.028169014084507043,71,69,2,0,71,71,1.0,7.751802816901411,7.515,13.1245
egemaps,any_segment_baseline (τ=0.5),,0.5,0.9726027397260274,0.9466666666666667,1.0,0.971830985915493,0.056338028169014086,71,67,4,0,71,71,1.0,7.236873239436619,7.515,11.7725
egemaps,majority_vote (τ=0.5),,0.5,1.0,1.0,1.0,1.0,0.0,71,71,0,0,71,71,0.0,248.84540845070413,81.79,756.745
mfcc,ema,0.3,0.3,0.993006993006993,0.9861111111111112,1.0,0.9929577464788732,0.014084507042253521,71,70,1,0,71,71,1.0,7.275577464788733,7.515,11.7725
mfcc,running_max,,0.3,0.9594594594594594,0.922077922077922,1.0,0.9577464788732394,0.08450704225352113,71,65,6,0,71,71,1.0,7.275577464788733,7.515,11.7725
mfcc,any_segment_baseline (τ=0.5),,0.5,0.9726027397260274,0.9466666666666667,1.0,0.971830985915493,0.056338028169014086,71,67,4,0,71,71,0.9859154929577465,7.853394366197185,7.515,11.7725
mfcc,majority_vote (τ=0.5),,0.5,0.9929078014184397,1.0,0.9859154929577465,0.9929577464788732,0.0,70,71,0,1,70,71,0.0,251.5813428571428,85.82,759.9274999999998
wav2vec2,ema,0.5,0.7,0.9565217391304348,0.9850746268656716,0.9295774647887324,0.9577464788732394,0.014084507042253521,66,70,1,5,66,71,0.9545454545454546,16.832560606060603,16.82,28.599999999999998
wav2vec2,running_max,,0.9,0.9032258064516129,0.8333333333333334,0.9859154929577465,0.8943661971830986,0.19718309859154928,70,57,14,1,70,71,0.9714285714285714,9.986785714285713,8.879999999999999,22.074749999999987
wav2vec2,any_segment_baseline (τ=0.5),,0.5,0.7513227513227513,0.6016949152542372,1.0,0.6690140845070423,0.6619718309859155,71,24,47,0,71,71,1.0,7.56674647887324,7.865,13.1245
wav2vec2,majority_vote (τ=0.5),,0.5,0.9861111111111112,0.9726027397260274,1.0,0.9859154929577465,0.028169014084507043,71,69,2,0,71,71,0.0,248.84540845070413,81.79,756.745
all,ema,0.3,0.3,1.0,1.0,1.0,1.0,0.0,71,71,0,0,71,71,1.0,7.236873239436619,7.515,11.7725
all,running_max,,0.5,0.993006993006993,0.9861111111111112,1.0,0.9929577464788732,0.014084507042253521,71,70,1,0,71,71,1.0,7.236873239436619,7.515,11.7725
all,any_segment_baseline (τ=0.5),,0.5,0.993006993006993,0.9861111111111112,1.0,0.9929577464788732,0.014084507042253521,71,70,1,0,71,71,1.0,7.236873239436619,7.515,11.7725
all,majority_vote (τ=0.5),,0.5,1.0,1.0,1.0,1.0,0.0,71,71,0,0,71,71,0.0,248.84540845070413,81.79,756.745
