alpha,call_id,ema_ms,end_to_end_ms,feat_ms,feature_type,final_S,first_alert_ms,fwd_ms,kind,label,load_ms,n_segments,peak_seg_ms,prob,rep,score_S,segment_id,tau,total_call_ms
,,0.00651,86.373281,11.774479,mfcc,,,72.160208,segment,0,2.432084,,,0.2606247067451477,0,0.1824372947216034,d02j12s000857_29,,
,,0.00323,6.677448,3.293802,mfcc,,,2.664583,segment,0,0.715833,,,0.2606247067451477,1,0.1824372947216034,d02j12s000857_29,,
,,0.002031,4.71177,2.875417,mfcc,,,1.410208,segment,0,0.424114,,,0.2606247067451477,2,0.1824372947216034,d02j12s000857_29,,
,,0.002448,4.201407,2.898541,mfcc,,,0.915105,segment,0,0.385313,,,0.2606247067451477,3,0.1824372947216034,d02j12s000857_29,,
,,0.002032,4.17599,2.946719,mfcc,,,0.786458,segment,0,0.440781,,,0.2606247067451477,4,0.1824372947216034,d02j12s000857_29,,
,,0.001198,3.372031,2.778907,mfcc,,,0.229218,segment,0,0.362708,,,0.2606247067451477,5,0.1824372947216034,d02j12s000857_29,,
,,0.000833,2.331041,1.876771,mfcc,,,0.167552,segment,0,0.285885,,,0.2606247067451477,6,0.1824372947216034,d02j12s000857_29,,
,,0.000573,2.192032,1.809062,mfcc,,,0.15474,segment,0,0.227657,,,0.2606247067451477,7,0.1824372947216034,d02j12s000857_29,,
,,0.000521,2.214688,1.912917,mfcc,,,0.125469,segment,0,0.175781,,,0.2606247067451477,8,0.1824372947216034,d02j12s000857_29,,
,,0.000573,1.959271,1.669427,mfcc,,,0.129791,segment,0,0.15948,,,0.2606247067451477,9,0.1824372947216034,d02j12s000857_29,,
,,0.002604,13.101146,10.728125,mfcc,,,0.635469,segment,1,1.734948,,,0.9999947547912598,0,0.6999963283538818,vishing_366_52,,
,,0.001666,8.631041,7.397708,mfcc,,,0.473907,segment,1,0.75776,,,0.9999947547912598,1,0.6999963283538818,vishing_366_52,,
,,0.000781,7.392969,6.545468,mfcc,,,0.250678,segment,1,0.596042,,,0.9999947547912598,2,0.6999963283538818,vishing_366_52,,
,,0.001041,7.116041,6.358958,mfcc,,,0.218021,segment,1,0.538021,,,0.9999947547912598,3,0.6999963283538818,vishing_366_52,,
,,0.000937,7.105989,6.406094,mfcc,,,0.192604,segment,1,0.506354,,,0.9999947547912598,4,0.6999963283538818,vishing_366_52,,
,,0.001198,8.382083,7.25427,mfcc,,,0.336771,segment,1,0.789844,,,0.9999947547912598,5,0.6999963283538818,vishing_366_52,,
,,0.000677,7.053021,6.365729,mfcc,,,0.19125,segment,1,0.495365,,,0.9999947547912598,6,0.6999963283538818,vishing_366_52,,
,,0.00099,7.17125,6.479166,mfcc,,,0.214167,segment,1,0.476927,,,0.9999947547912598,7,0.6999963283538818,vishing_366_52,,
,,0.00099,7.048698,6.317448,mfcc,,,0.2175,segment,1,0.51276,,,0.9999947547912598,8,0.6999963283538818,vishing_366_52,,
,,0.001146,7.321354,6.450989,mfcc,,,0.359479,segment,1,0.50974,,,0.9999947547912598,9,0.6999963283538818,vishing_366_52,,
,,0.002968,8.946198,4.542969,mfcc,,,0.319271,segment,0,4.08099,,,0.33413180708885193,0,0.23389226496219634,d01j020s006622_3,,
,,0.000781,4.906563,4.172396,mfcc,,,0.152761,segment,0,0.580625,,,0.33413180708885193,1,0.23389226496219634,d01j020s006622_3,,
,,0.000625,4.446927,3.982552,mfcc,,,0.124167,segment,0,0.339583,,,0.33413180708885193,2,0.23389226496219634,d01j020s006622_3,,
,,0.000625,4.311823,3.879323,mfcc,,,0.12401,segment,0,0.307865,,,0.33413180708885193,3,0.23389226496219634,d01j020s006622_3,,
,,0.000625,4.443698,3.959115,mfcc,,,0.137812,segment,0,0.346146,,,0.33413180708885193,4,0.23389226496219634,d01j020s006622_3,,
,,0.000625,4.399427,3.94901,mfcc,,,0.12849,segment,0,0.321302,,,0.33413180708885193,5,0.23389226496219634,d01j020s006622_3,,
,,0.000729,4.40875,3.960729,mfcc,,,0.128854,segment,0,0.318438,,,0.33413180708885193,6,0.23389226496219634,d01j020s006622_3,,
,,0.000573,4.432344,3.987865,mfcc,,,0.128906,segment,0,0.315,,,0.33413180708885193,7,0.23389226496219634,d01j020s006622_3,,
,,0.000573,4.379323,3.943125,mfcc,,,0.132083,segment,0,0.303542,,,0.33413180708885193,8,0.23389226496219634,d01j020s006622_3,,
,,0.000573,4.428593,3.993542,mfcc,,,0.129062,segment,0,0.305416,,,0.33413180708885193,9,0.23389226496219634,d01j020s006622_3,,
,,0.001615,15.41349,7.570573,mfcc,,,0.640781,segment,0,7.200521,,,0.33167561888694763,0,0.23217293322086333,d04j18s014737_2,,
,,0.000937,7.873593,7.102708,mfcc,,,0.159063,segment,0,0.610885,,,0.33167561888694763,1,0.23217293322086333,d04j18s014737_2,,
,,0.000886,7.623854,6.945937,mfcc,,,0.165156,segment,0,0.511875,,,0.33167561888694763,2,0.23217293322086333,d04j18s014737_2,,
,,0.00073,7.536927,6.866719,mfcc,,,0.16302,segment,0,0.506458,,,0.33167561888694763,3,0.23217293322086333,d04j18s014737_2,,
,,0.00099,7.520885,6.859896,mfcc,,,0.159947,segment,0,0.500052,,,0.33167561888694763,4,0.23217293322086333,d04j18s014737_2,,
,,0.000573,7.608646,6.86875,mfcc,,,0.237396,segment,0,0.501927,,,0.33167561888694763,5,0.23217293322086333,d04j18s014737_2,,
,,0.000625,8.048907,7.283854,mfcc,,,0.230365,segment,0,0.534063,,,0.33167561888694763,6,0.23217293322086333,d04j18s014737_2,,
,,0.000781,7.471458,6.800052,mfcc,,,0.16901,segment,0,0.501615,,,0.33167561888694763,7,0.23217293322086333,d04j18s014737_2,,
,,0.000625,7.549688,6.812292,mfcc,,,0.168021,segment,0,0.56875,,,0.33167561888694763,8,0.23217293322086333,d04j18s014737_2,,
,,0.000834,7.610313,6.954219,mfcc,,,0.162031,segment,0,0.493229,,,0.33167561888694763,9,0.23217293322086333,d04j18s014737_2,,
,,0.001406,10.717709,4.308333,mfcc,,,0.160886,segment,1,6.247084,,,0.9987701773643494,0,0.6991391241550445,vishing_304_49,,
,,0.000677,4.877916,4.299844,mfcc,,,0.161093,segment,1,0.416302,,,0.9987701773643494,1,0.6991391241550445,vishing_304_49,,
,,0.000625,5.030521,4.49151,mfcc,,,0.175313,segment,1,0.363073,,,0.9987701773643494,2,0.6991391241550445,vishing_304_49,,
,,0.000573,4.890364,4.398594,mfcc,,,0.130625,segment,1,0.360572,,,0.9987701773643494,3,0.6991391241550445,vishing_304_49,,
,,0.000521,4.888698,4.401041,mfcc,,,0.138073,segment,1,0.349063,,,0.9987701773643494,4,0.6991391241550445,vishing_304_49,,
,,0.000521,4.933646,4.472761,mfcc,,,0.130312,segment,1,0.330052,,,0.9987701773643494,5,0.6991391241550445,vishing_304_49,,
,,0.000625,4.844114,4.377396,mfcc,,,0.133333,segment,1,0.33276,,,0.9987701773643494,6,0.6991391241550445,vishing_304_49,,
,,0.000573,5.006979,4.548594,mfcc,,,0.125885,segment,1,0.331927,,,0.9987701773643494,7,0.6991391241550445,vishing_304_49,,
,,0.000677,4.94849,4.495469,mfcc,,,0.124323,segment,1,0.328021,,,0.9987701773643494,8,0.6991391241550445,vishing_304_49,,
,,0.000625,4.862812,4.403958,mfcc,,,0.125937,segment,1,0.332292,,,0.9987701773643494,9,0.6991391241550445,vishing_304_49,,
,,0.001042,12.824323,6.064375,mfcc,,,0.205104,segment,0,6.553802,,,0.6170220375061035,0,0.4319154262542724,d02j12s000074_6,,
,,0.000729,6.884063,6.257032,mfcc,,,0.151771,segment,0,0.474531,,,0.6170220375061035,1,0.4319154262542724,d02j12s000074_6,,
,,0.000729,6.751042,6.126093,mfcc,,,0.171303,segment,0,0.452917,,,0.6170220375061035,2,0.4319154262542724,d02j12s000074_6,,
,,0.00052,6.820208,6.196198,mfcc,,,0.16625,segment,0,0.45724,,,0.6170220375061035,3,0.4319154262542724,d02j12s000074_6,,
,,0.000573,6.825729,6.154063,mfcc,,,0.153854,segment,0,0.517239,,,0.6170220375061035,4,0.4319154262542724,d02j12s000074_6,,
,,0.000834,6.79375,6.195885,mfcc,,,0.15,segment,0,0.447031,,,0.6170220375061035,5,0.4319154262542724,d02j12s000074_6,,
,,0.000625,6.795885,6.195729,mfcc,,,0.148125,segment,0,0.451406,,,0.6170220375061035,6,0.4319154262542724,d02j12s000074_6,,
,,0.000521,6.866459,6.226458,mfcc,,,0.184115,segment,0,0.455365,,,0.6170220375061035,7,0.4319154262542724,d02j12s000074_6,,
,,0.000729,6.637604,6.043959,mfcc,,,0.14875,segment,0,0.444166,,,0.6170220375061035,8,0.4319154262542724,d02j12s000074_6,,
,,0.000781,6.361041,5.737604,mfcc,,,0.198073,segment,0,0.424583,,,0.6170220375061035,9,0.4319154262542724,d02j12s000074_6,,
,,0.001771,7.209688,2.556094,mfcc,,,0.136979,segment,1,4.514844,,,0.9999942779541016,0,0.6999959945678711,vishing_653_85,,
,,0.000573,2.871458,2.452239,mfcc,,,0.14625,segment,1,0.272396,,,0.9999942779541016,1,0.6999959945678711,vishing_653_85,,
,,0.000729,2.788177,2.436875,mfcc,,,0.148021,segment,1,0.202552,,,0.9999942779541016,2,0.6999959945678711,vishing_653_85,,
,,0.000625,2.826771,2.418229,mfcc,,,0.212604,segment,1,0.195313,,,0.9999942779541016,3,0.6999959945678711,vishing_653_85,,
,,0.000521,2.738177,2.387084,mfcc,,,0.162031,segment,1,0.188541,,,0.9999942779541016,4,0.6999959945678711,vishing_653_85,,
,,0.000521,2.673594,2.364115,mfcc,,,0.131875,segment,1,0.177083,,,0.9999942779541016,5,0.6999959945678711,vishing_653_85,,
,,0.000572,2.703645,2.40026,mfcc,,,0.125157,segment,1,0.177656,,,0.9999942779541016,6,0.6999959945678711,vishing_653_85,,
,,0.000521,2.632916,2.326615,mfcc,,,0.128333,segment,1,0.177447,,,0.9999942779541016,7,0.6999959945678711,vishing_653_85,,
,,0.000521,2.688333,2.372708,mfcc,,,0.135521,segment,1,0.179583,,,0.9999942779541016,8,0.6999959945678711,vishing_653_85,,
,,0.000521,2.817708,2.510938,mfcc,,,0.128437,segment,1,0.177812,,,0.9999942779541016,9,0.6999959945678711,vishing_653_85,,
,,0.001198,13.837552,4.767917,mfcc,,,0.166927,segment,0,8.90151,,,0.576858401298523,0,0.40380088090896604,d01j04s006795_22,,
,,0.00073,4.993178,4.443073,mfcc,,,0.138177,segment,0,0.411198,,,0.576858401298523,1,0.40380088090896604,d01j04s006795_22,,
,,0.000782,4.853594,4.385052,mfcc,,,0.129896,segment,0,0.337864,,,0.576858401298523,2,0.40380088090896604,d01j04s006795_22,,
,,0.000625,4.812135,4.339531,mfcc,,,0.131458,segment,0,0.340521,,,0.576858401298523,3,0.40380088090896604,d01j04s006795_22,,
,,0.000677,4.856042,4.387344,mfcc,,,0.137708,segment,0,0.330313,,,0.576858401298523,4,0.40380088090896604,d01j04s006795_22,,
,,0.000573,4.781146,4.289062,mfcc,,,0.161719,segment,0,0.329792,,,0.576858401298523,5,0.40380088090896604,d01j04s006795_22,,
,,0.000625,4.75948,4.30849,mfcc,,,0.126875,segment,0,0.32349,,,0.576858401298523,6,0.40380088090896604,d01j04s006795_22,,
,,0.000625,4.754688,4.313229,mfcc,,,0.121667,segment,0,0.319167,,,0.576858401298523,7,0.40380088090896604,d01j04s006795_22,,
,,0.000625,5.078907,4.608854,mfcc,,,0.135209,segment,0,0.334219,,,0.576858401298523,8,0.40380088090896604,d01j04s006795_22,,
,,0.00052,5.084895,4.605886,mfcc,,,0.130521,segment,0,0.347968,,,0.576858401298523,9,0.40380088090896604,d01j04s006795_22,,
