feature_type,egemaps_backend,call_id,label,total_call_ms,first_alert_ms,peak_seg_ms,n_segments,final_S,tau,alpha
mfcc,,vishing_257,1,36.294792,7.257292,7.232188,8,0.9999176887248897,0.3,0.3
mfcc,,vishing_44,1,47.99401,6.776875,11.625886,8,0.9996525623152821,0.3,0.3
mfcc,,vishing_304,1,1809.233593,2.87198,13.892709,353,0.9999970079470263,0.3,0.3
mfcc,,vishing_617,1,1798.452395,18.541041,12.543072,357,0.9999979824112497,0.3,0.3
mfcc,,vishing_366,1,397.128177,18.314115,14.932917,66,0.9999915883373172,0.3,0.3
mfcc,,vishing_552,1,243.91901,6.515416,9.108906,50,0.9980070970015569,0.3,0.3
mfcc,,vishing_457,1,35.635521,10.482292,8.859011,5,0.9975644514334201,0.3,0.3
mfcc,,vishing_234,1,51.24776,8.373281,8.377031,7,0.9953907650936245,0.3,0.3
mfcc,,vishing_168,1,58.661302,9.351979,11.878698,7,0.9997811493899107,0.3,0.3
mfcc,,vishing_479,1,46.530782,7.220573,8.748073,7,0.7964670007792234,0.3,0.3
mfcc,,vishing_228,1,21.5725,7.605209,7.19099,4,0.9918988001227378,0.3,0.3
mfcc,,vishing_248,1,45.376354,9.856771,9.665364,11,0.9999766450363488,0.3,0.3
mfcc,,vishing_445,1,191.310417,5.178958,8.748438,28,0.9317327494412506,0.3,0.3
mfcc,,vishing_178,1,76.569427,9.378177,8.291146,22,0.9999981480978425,0.3,0.3
mfcc,,vishing_679,1,80.647969,7.243542,10.620938,11,0.9927109642773164,0.3,0.3
mfcc,,vishing_601,1,140.713437,7.866979,8.472708,34,0.9999977082575986,0.3,0.3
mfcc,,vishing_211,1,58.520313,8.75724,13.393229,7,0.9997797913122652,0.3,0.3
mfcc,,vishing_453,1,452.491146,3.300052,11.497083,108,0.9992557417932242,0.3,0.3
mfcc,,vishing_432,1,157.8275,5.704219,13.114011,30,0.9999923588342922,0.3,0.3
mfcc,,vishing_88,1,133.656041,8.433489,13.715885,18,0.9948726191602735,0.3,0.3
mfcc,,vishing_255,1,67.343542,14.155104,12.585469,10,0.9665096010380283,0.3,0.3
mfcc,,vishing_434,1,45.219323,12.110625,11.851146,7,0.9986720354382574,0.3,0.3
mfcc,,vishing_208,1,59.406666,7.996458,10.059271,11,0.9999457665543305,0.3,0.3
mfcc,,vishing_615,1,119.626146,2.099583,13.084063,29,0.9999953587392516,0.3,0.3
mfcc,,vishing_393,1,109.181979,2.932292,8.351927,26,0.9946308000945823,0.3,0.3
mfcc,,vishing_375,1,214.817709,11.838855,16.314218,33,0.999424054817112,0.3,0.3
mfcc,,vishing_542,1,31.387708,13.950885,12.810208,3,0.6256477199792861,0.3,0.3
mfcc,,vishing_112,1,89.683541,7.060573,11.804739,12,0.9999812032136651,0.3,0.3
mfcc,,vishing_602,1,214.116927,5.732396,14.230052,41,0.9999656969597952,0.3,0.3
mfcc,,vishing_118,1,72.901042,8.949688,9.764271,15,0.9638952518286532,0.3,0.3
mfcc,,vishing_82,1,21.84599,2.889479,6.857344,6,0.9991517930518388,0.3,0.3
mfcc,,vishing_217,1,86.868802,5.209896,10.637448,12,0.9999994407419939,0.3,0.3
mfcc,,vishing_226,1,76.984792,14.086771,13.51151,7,0.9997581544722138,0.3,0.3
mfcc,,vishing_417,1,140.663229,9.348542,13.88177,17,0.9999996912936178,0.3,0.3
mfcc,,vishing_520,1,590.777031,18.475208,19.615573,90,0.9999894837477217,0.3,0.3
mfcc,,vishing_338,1,283.113177,5.653594,15.501459,38,0.9999876110218775,0.3,0.3
mfcc,,vishing_575,1,335.941146,5.4875,36.2075,40,0.9999928964880237,0.3,0.3
mfcc,,vishing_600,1,12.625886,7.871667,6.43474,2,0.909977068901062,0.3,0.3
mfcc,,vishing_446,1,60.729948,2.542031,9.736094,17,0.9974503086762975,0.3,0.3
mfcc,,vishing_444,1,50.248281,5.987395,9.02401,9,0.999978018877841,0.3,0.3
mfcc,,vishing_597,1,545.270677,5.8325,15.579218,104,0.9998812254132181,0.3,0.3
mfcc,,vishing_368,1,892.558437,9.117813,11.354844,222,0.9998240240471186,0.3,0.3
mfcc,,vishing_360,1,194.083906,12.750156,9.859948,31,0.9999999678496225,0.3,0.3
mfcc,,vishing_173,1,50.919063,9.506979,8.041145,14,0.9950146842089487,0.3,0.3
mfcc,,vishing_671,1,19.813594,6.853646,6.678698,3,0.9729952527284621,0.3,0.3
mfcc,,vishing_53,1,17.527552,6.688333,10.82276,2,0.9098735618591308,0.3,0.3
mfcc,,vishing_653,1,627.385573,5.441354,11.823333,131,0.9999613442730391,0.3,0.3
mfcc,,vishing_242,1,43.695781,10.01724,8.565573,7,0.9997437692058861,0.3,0.3
mfcc,,vishing_86,1,40.541823,8.268541,9.241354,5,0.996016446852684,0.3,0.3
mfcc,,vishing_192,1,45.2925,5.797968,8.804688,7,0.9997115637406824,0.3,0.3
egemaps,precomputed,vishing_257,1,0.579115,0.269323,0.244531,8,0.99993439,0.3,0.3
egemaps,precomputed,vishing_44,1,6.511197,4.15901,3.95849,8,0.9999330412488365,0.3,0.3
egemaps,precomputed,vishing_304,1,31.574375,2.018958,1.799218,353,0.9999999702797884,0.3,0.3
egemaps,precomputed,vishing_617,1,29.403281,15.374635,0.427969,357,0.9999999999999999,0.3,0.3
egemaps,precomputed,vishing_366,1,16.922031,13.984114,0.376042,66,0.9999999999999999,0.3,0.3
egemaps,precomputed,vishing_552,1,5.027604,3.097708,0.400885,50,0.9999999954937531,0.3,0.3
egemaps,precomputed,vishing_457,1,2.159791,1.977812,0.30651,5,0.9975699999999998,0.3,0.3
egemaps,precomputed,vishing_234,1,0.689583,0.419375,0.243125,7,0.9962317633619249,0.3,0.3
egemaps,precomputed,vishing_168,1,0.811927,0.545677,0.24724,7,0.9997813,0.3,0.3
egemaps,precomputed,vishing_479,1,0.833594,0.628802,0.219062,7,0.7964312680242649,0.3,0.3
egemaps,precomputed,vishing_228,1,1.667135,0.923541,0.747604,4,0.9918999999999999,0.3,0.3
egemaps,precomputed,vishing_248,1,1.245104,0.794583,0.688594,11,0.9999959610225779,0.3,0.3
egemaps,precomputed,vishing_445,1,1.697084,0.611511,0.31073,28,0.9999950845721948,0.3,0.3
egemaps,precomputed,vishing_178,1,2.336407,1.481355,0.257292,22,0.9999999999360281,0.3,0.3
egemaps,precomputed,vishing_679,1,0.991094,0.578021,0.23724,11,0.9999768605165251,0.3,0.3
egemaps,precomputed,vishing_601,1,2.078646,0.74151,0.299479,34,0.999999999116628,0.3,0.3
egemaps,precomputed,vishing_211,1,1.30849,1.040313,0.273802,7,0.9997813,0.3,0.3
egemaps,precomputed,vishing_453,1,4.916406,0.724427,0.370729,108,0.999998571440673,0.3,0.3
egemaps,precomputed,vishing_432,1,4.734271,3.589948,0.35276,30,0.9999999999802718,0.3,0.3
egemaps,precomputed,vishing_88,1,1.724427,1.034219,0.378698,18,0.9997709252793946,0.3,0.3
egemaps,precomputed,vishing_255,1,0.945261,0.566928,0.191355,10,0.9591858915091508,0.3,0.3
egemaps,precomputed,vishing_434,1,0.554115,0.283334,0.160573,7,0.9995396045899867,0.3,0.3
egemaps,precomputed,vishing_208,1,0.780886,0.355417,0.182917,11,0.9723420656860555,0.3,0.3
egemaps,precomputed,vishing_615,1,1.672708,0.568802,0.247917,29,0.9999998942932216,0.3,0.3
egemaps,precomputed,vishing_393,1,1.89427,0.902916,0.274843,26,0.999241280733274,0.3,0.3
egemaps,precomputed,vishing_375,1,2.176146,0.918959,0.313698,33,0.955610936508289,0.3,0.3
egemaps,precomputed,vishing_542,1,1.430053,1.330678,0.164271,3,0.9722393016815185,0.3,0.3
egemaps,precomputed,vishing_112,1,0.771823,0.311667,0.200312,12,0.9999994685589999,0.3,0.3
egemaps,precomputed,vishing_602,1,2.396719,0.826979,0.335677,41,0.9999999498655703,0.3,0.3
egemaps,precomputed,vishing_118,1,2.123177,1.538333,0.303281,15,0.9999534329005535,0.3,0.3
egemaps,precomputed,vishing_82,1,0.714532,0.485417,0.168021,6,0.9992689392852783,0.3,0.3
egemaps,precomputed,vishing_217,1,0.801303,0.328959,0.210104,12,0.9999994685589999,0.3,0.3
egemaps,precomputed,vishing_226,1,0.744063,0.471198,0.165364,7,0.9997810583174824,0.3,0.3
egemaps,precomputed,vishing_417,1,1.280782,0.475209,0.200417,17,0.9999999929722456,0.3,0.3
egemaps,precomputed,vishing_520,1,4.55573,1.113959,0.359427,90,0.9999999999999999,0.3,0.3
egemaps,precomputed,vishing_338,1,5.078021,3.619427,0.373698,38,0.999987036372001,0.3,0.3
egemaps,precomputed,vishing_575,1,3.755625,2.172813,0.347865,40,0.9999999999462543,0.3,0.3
egemaps,precomputed,vishing_600,1,1.539167,1.488229,0.1675,2,0.9099999999999999,0.3,0.3
egemaps,precomputed,vishing_446,1,0.866719,0.206355,0.145417,17,0.9999990280806548,0.3,0.3
egemaps,precomputed,vishing_444,1,0.724687,0.377604,0.180261,9,0.9999803169999999,0.3,0.3
egemaps,precomputed,vishing_597,1,4.957292,0.745938,0.355313,104,0.999999893895173,0.3,0.3
egemaps,precomputed,vishing_368,1,14.484948,5.105365,0.644948,222,0.9999999977464987,0.3,0.3
