feature_type,stage,mean_ms,std_ms,median_ms,p95_ms,p99_ms,n
egemaps,load_ms,0.393,0.311,0.357,1.060,1.599,1000
egemaps,feat_ms,0.001,0.000,0.001,0.001,0.002,1000
egemaps,fwd_ms,0.073,0.072,0.052,0.133,0.516,1000
egemaps,ema_ms,0.001,0.000,0.001,0.001,0.001,1000
egemaps,end_to_end_ms,0.468,0.344,0.413,1.207,1.814,1000
mfcc,load_ms,0.446,0.482,0.395,1.100,2.012,1000
mfcc,feat_ms,4.194,2.293,4.145,8.025,9.599,1000
mfcc,fwd_ms,0.385,2.160,0.217,0.829,1.512,1000
mfcc,ema_ms,0.001,0.001,0.001,0.002,0.004,1000
mfcc,end_to_end_ms,5.026,3.536,4.921,9.451,11.595,1000
