feature_type,egemaps_backend,call_id,label,total_call_ms,first_alert_ms,peak_seg_ms,n_segments,final_S,tau,alpha
mfcc,,vishing_257,1,36.335,7.1025,7.093802,8,0.9999176887248897,0.3,0.3
mfcc,,vishing_44,1,48.15599,6.290886,12.88875,8,0.9996525623152821,0.3,0.3
mfcc,,vishing_304,1,1683.74703,2.940572,14.138854,353,0.9999970079470263,0.3,0.3
mfcc,,vishing_617,1,1666.079843,18.00474,10.794531,357,0.9999979824112497,0.3,0.3
mfcc,,vishing_366,1,351.529427,17.282083,11.454374,66,0.9999915883373172,0.3,0.3
mfcc,,vishing_552,1,232.558906,5.334635,8.542552,50,0.9980070970015569,0.3,0.3
mfcc,,vishing_457,1,32.384063,8.539063,7.900052,5,0.9975644514334201,0.3,0.3
mfcc,,vishing_234,1,47.187708,7.529688,7.847135,7,0.9953907650936245,0.3,0.3
mfcc,,vishing_168,1,47.250156,6.489791,9.366927,7,0.9997811493899107,0.3,0.3
mfcc,,vishing_479,1,43.615938,8.140573,7.898542,7,0.7964670007792234,0.3,0.3
mfcc,,vishing_228,1,21.118594,6.519948,6.271823,4,0.9918988001227378,0.3,0.3
mfcc,,vishing_248,1,42.037031,7.891406,7.715781,11,0.9999766450363488,0.3,0.3
mfcc,,vishing_445,1,181.230313,6.554427,10.656927,28,0.9317327494412506,0.3,0.3
mfcc,,vishing_178,1,66.126042,7.461875,6.848541,22,0.9999981480978425,0.3,0.3
mfcc,,vishing_679,1,66.272708,6.665156,7.87849,11,0.9927109642773164,0.3,0.3
mfcc,,vishing_601,1,126.559166,8.041718,7.703489,34,0.9999977082575986,0.3,0.3
mfcc,,vishing_211,1,45.745364,7.434792,9.680208,7,0.9997797913122652,0.3,0.3
mfcc,,vishing_453,1,357.129635,3.680729,7.15401,108,0.9992557417932242,0.3,0.3
mfcc,,vishing_432,1,105.56151,5.022604,10.54474,30,0.9999923588342922,0.3,0.3
mfcc,,vishing_88,1,74.373334,5.142552,8.512135,18,0.9948726191602735,0.3,0.3
mfcc,,vishing_255,1,29.768698,5.400729,7.377865,10,0.9665096010380283,0.3,0.3
mfcc,,vishing_434,1,37.416979,8.903125,8.729532,7,0.9986720354382574,0.3,0.3
mfcc,,vishing_208,1,49.133333,7.121354,7.613906,11,0.9999457665543305,0.3,0.3
mfcc,,vishing_615,1,109.305052,1.789219,13.875417,29,0.9999953587392516,0.3,0.3
mfcc,,vishing_393,1,104.214479,2.329114,8.662136,26,0.9946308000945823,0.3,0.3
mfcc,,vishing_375,1,172.929532,11.607865,12.207916,33,0.999424054817112,0.3,0.3
mfcc,,vishing_542,1,17.402083,9.326927,8.105365,3,0.6256477199792861,0.3,0.3
mfcc,,vishing_112,1,80.3325,6.295937,10.889583,12,0.9999812032136651,0.3,0.3
mfcc,,vishing_602,1,179.311719,4.464323,12.970781,41,0.9999656969597952,0.3,0.3
mfcc,,vishing_118,1,65.466614,8.757396,8.454271,15,0.9638952518286532,0.3,0.3
mfcc,,vishing_82,1,20.556198,2.617604,7.102343,6,0.9991517930518388,0.3,0.3
mfcc,,vishing_217,1,71.962761,4.914323,8.288854,12,0.9999994407419939,0.3,0.3
mfcc,,vishing_226,1,50.208698,8.828281,8.68875,7,0.9997581544722138,0.3,0.3
mfcc,,vishing_417,1,115.211823,10.319531,11.705729,17,0.9999996912936178,0.3,0.3
mfcc,,vishing_520,1,459.349479,9.442136,11.583906,90,0.9999894837477217,0.3,0.3
mfcc,,vishing_338,1,228.172135,5.923125,8.661927,38,0.9999876110218775,0.3,0.3
mfcc,,vishing_575,1,227.798698,3.799896,8.947083,40,0.9999928964880237,0.3,0.3
mfcc,,vishing_600,1,13.735052,9.720365,7.941198,2,0.909977068901062,0.3,0.3
mfcc,,vishing_446,1,55.939375,1.562031,9.205625,17,0.9974503086762975,0.3,0.3
mfcc,,vishing_444,1,52.978281,5.611927,11.262604,9,0.999978018877841,0.3,0.3
mfcc,,vishing_597,1,572.680729,7.502135,12.952968,104,0.9998812254132181,0.3,0.3
mfcc,,vishing_368,1,1122.298125,8.129115,13.555052,222,0.9998240240471186,0.3,0.3
mfcc,,vishing_360,1,199.018854,12.727604,12.357552,31,0.9999999678496225,0.3,0.3
mfcc,,vishing_173,1,53.824948,10.042604,8.628333,14,0.9950146842089487,0.3,0.3
mfcc,,vishing_671,1,20.367552,6.502865,7.400833,3,0.9729952527284621,0.3,0.3
mfcc,,vishing_53,1,21.919688,7.959688,13.95151,2,0.9098735618591308,0.3,0.3
mfcc,,vishing_653,1,667.418281,6.464427,13.63875,131,0.9999613442730391,0.3,0.3
mfcc,,vishing_242,1,43.922812,11.585885,9.177448,7,0.9997437692058861,0.3,0.3
