feature_type,stage,mean_ms,std_ms,median_ms,p95_ms,p99_ms,n
egemaps,load_ms,0.292,0.147,0.305,0.527,0.602,1000
egemaps,feat_ms,0.006,0.001,0.005,0.007,0.009,1000
egemaps,fwd_ms,0.047,0.034,0.040,0.073,0.110,1000
egemaps,ema_ms,0.000,0.000,0.000,0.000,0.001,1000
egemaps,end_to_end_ms,0.345,0.162,0.354,0.605,0.707,1000
mfcc,load_ms,0.972,1.959,0.400,6.249,9.654,1000
mfcc,feat_ms,4.720,2.571,4.728,9.287,11.221,1000
mfcc,fwd_ms,0.314,2.294,0.146,0.820,1.527,1000
mfcc,ema_ms,0.001,0.001,0.001,0.002,0.003,1000
mfcc,end_to_end_ms,6.008,4.455,5.681,12.933,17.263,1000
