feature_type,call_id,label,total_call_ms,first_alert_ms,peak_seg_ms,n_segments,final_S,tau,alpha
mfcc,vishing_257,1,702.660059,97.363261,121.583492,8,0.99993439,0.3,0.3
mfcc,vishing_44,1,802.613105,91.931094,128.101946,8,0.9999343811792873,0.3,0.3
mfcc,vishing_304,1,37096.452753,36.593585,182.900202,353,0.9999999999999991,0.3,0.3
mfcc,vishing_617,1,35449.442371,64.847567,176.085837,357,0.9999999999999999,0.3,0.3
mfcc,vishing_366,1,7185.034729,94.115804,166.054299,66,0.9999999999999999,0.3,0.3
mfcc,vishing_552,1,5200.026731,41.703395,150.109317,50,0.9999999999999999,0.3,0.3
mfcc,vishing_457,1,625.714123,115.403464,142.912661,5,0.9975699999999998,0.3,0.3
mfcc,vishing_234,1,905.30579,101.00584,154.210161,7,0.8947744580719172,0.3,0.3
mfcc,vishing_168,1,809.3714,99.467056,159.544033,7,0.9997813,0.3,0.3
mfcc,vishing_479,1,743.961049,177.386139,136.561936,7,0.6325733298449642,0.3,0.3
mfcc,vishing_228,1,387.244984,85.854742,103.248634,4,0.9918999999999999,0.3,0.3
mfcc,vishing_248,1,1121.129431,110.326583,139.91903,11,0.99999822853,0.3,0.3
mfcc,vishing_445,1,3114.442001,104.448574,149.972434,28,0.8157645112591744,0.3,0.3
mfcc,vishing_178,1,2369.760471,89.696309,175.152724,22,0.9999999999968618,0.3,0.3
mfcc,vishing_679,1,1464.958974,129.875845,188.912154,11,0.999976387500142,0.3,0.3
mfcc,vishing_601,1,3354.689614,110.948397,149.224038,34,0.9999999999999999,0.3,0.3
mfcc,vishing_211,1,648.074227,93.685358,109.966675,7,0.9997813,0.3,0.3
mfcc,vishing_453,1,9816.127644,36.090997,199.944454,108,0.9999999999818863,0.3,0.3
mfcc,vishing_432,1,3506.273003,76.313494,179.887385,30,0.9999999869748184,0.3,0.3
mfcc,vishing_88,1,1610.869033,71.163619,119.396976,18,0.9999795712328041,0.3,0.3
mfcc,vishing_255,1,971.534461,94.139032,149.80807,10,0.9489631347900573,0.3,0.3
mfcc,vishing_434,1,887.943752,149.312194,149.292862,7,0.9997813,0.3,0.3
mfcc,vishing_208,1,1196.081014,95.900228,161.690122,11,0.99999822853,0.3,0.3
mfcc,vishing_615,1,2669.776174,57.42335,139.694083,29,0.9999999999999992,0.3,0.3
mfcc,vishing_393,1,2709.469757,200.593993,159.554108,26,0.999610160570197,0.3,0.3
mfcc,vishing_375,1,3460.009077,119.777929,157.320758,33,0.9999999999995564,0.3,0.3
mfcc,vishing_542,1,348.998041,123.314917,123.301002,3,0.9728875975608824,0.3,0.3
mfcc,vishing_112,1,1452.195839,96.086279,146.960525,12,0.9999994685589999,0.3,0.3
mfcc,vishing_602,1,3997.870284,51.743369,156.413187,41,0.9999999999999998,0.3,0.3
mfcc,vishing_118,1,1396.24994,109.697155,139.375768,15,0.9999998788829836,0.3,0.3
mfcc,vishing_82,1,558.564725,93.483926,140.801342,6,0.9992709999999999,0.3,0.3
mfcc,vishing_217,1,1457.612099,92.454004,164.860991,12,0.9999994685589999,0.3,0.3
mfcc,vishing_226,1,846.660653,143.788252,143.77268,7,0.9997813,0.3,0.3
mfcc,vishing_417,1,2030.24997,96.473919,167.101132,17,0.9999999987085983,0.3,0.3
mfcc,vishing_520,1,10740.813001,70.828093,199.932473,90,0.9999999999999999,0.3,0.3
mfcc,vishing_338,1,4706.640071,78.315195,172.52563,38,0.9999996839204148,0.3,0.3
mfcc,vishing_575,1,5928.205322,70.641111,212.881116,40,0.9999999999999999,0.3,0.3
mfcc,vishing_600,1,208.288265,118.298272,118.280917,2,0.9099999999999999,0.3,0.3
mfcc,vishing_446,1,1844.753201,59.616409,179.897581,17,0.9999999404551838,0.3,0.3
mfcc,vishing_444,1,1018.728216,80.796967,131.708095,9,0.9999803169999999,0.3,0.3
mfcc,vishing_597,1,11900.050729,59.676627,194.60752,104,0.9999999999999999,0.3,0.3
mfcc,vishing_368,1,25181.249447,81.218389,170.197947,222,0.9999999999999999,0.3,0.3
mfcc,vishing_360,1,3811.951777,51.642743,193.289156,31,0.9999999999999201,0.3,0.3
mfcc,vishing_173,1,1452.464714,96.198555,158.255704,14,0.9999903741739564,0.3,0.3
mfcc,vishing_671,1,428.30136,155.492737,155.471645,3,0.9729999999999999,0.3,0.3
mfcc,vishing_53,1,257.068494,142.408426,142.388591,2,0.9099999999999999,0.3,0.3
mfcc,vishing_653,1,16891.745568,39.406707,215.831787,131,0.9999999999999999,0.3,0.3
mfcc,vishing_242,1,715.289907,106.153306,130.65884,7,0.9997813,0.3,0.3
mfcc,vishing_86,1,594.938711,144.942042,144.923034,5,0.9973777472770213,0.3,0.3
mfcc,vishing_192,1,907.449107,137.773391,155.659739,7,0.9996287018094538,0.3,0.3
egemaps,vishing_257,1,763.037134,112.303324,167.187031,8,0.99993439,0.3,0.3
egemaps,vishing_44,1,982.541252,117.50009,188.253762,8,0.9999330412488365,0.3,0.3
egemaps,vishing_304,1,32179.793827,54.207648,190.869196,353,0.9999999702797884,0.3,0.3
egemaps,vishing_617,1,30235.113456,88.799477,189.535092,357,0.9999999999999999,0.3,0.3
egemaps,vishing_366,1,6409.145225,99.133542,180.531392,66,0.9999999999999999,0.3,0.3
egemaps,vishing_552,1,4152.369289,29.537766,137.88012,50,0.9999999954937531,0.3,0.3
egemaps,vishing_457,1,535.908997,119.475463,137.716931,5,0.9975699999999998,0.3,0.3
egemaps,vishing_234,1,812.333912,117.115675,127.60655,7,0.9962317616721331,0.3,0.3
egemaps,vishing_168,1,790.929567,80.653393,160.721728,7,0.9997813,0.3,0.3
egemaps,vishing_479,1,729.380428,188.736429,130.592538,7,0.7964317169277251,0.3,0.3
egemaps,vishing_228,1,327.34359,94.11957,94.105092,4,0.9918999999999999,0.3,0.3
egemaps,vishing_248,1,837.462419,107.248653,144.582799,11,0.9999959610225779,0.3,0.3
egemaps,vishing_445,1,3025.571307,85.814978,136.542975,28,0.9999950845721948,0.3,0.3
egemaps,vishing_178,1,1558.326051,106.821733,138.207663,22,0.9999999999360281,0.3,0.3
