feature_type,stage,mean_ms,std_ms,median_ms,p95_ms,p99_ms,n
egemaps,load_ms,0.894,1.567,0.515,2.431,7.272,200
egemaps,feat_ms,99.825,127.893,89.938,167.654,207.650,200
egemaps,fwd_ms,10.882,5.660,8.784,22.475,24.451,200
egemaps,ema_ms,0.009,0.060,0.003,0.017,0.048,200
egemaps,end_to_end_ms,111.610,128.904,102.261,179.210,218.141,200
mfcc,load_ms,0.727,0.880,0.515,1.757,3.658,200
mfcc,feat_ms,78.593,130.549,70.481,115.755,130.471,200
mfcc,fwd_ms,40.755,14.733,38.493,65.715,75.509,200
mfcc,ema_ms,0.005,0.020,0.003,0.004,0.007,200
mfcc,end_to_end_ms,120.080,135.983,109.957,167.545,193.917,200
