feature_type,method,alpha,tau,f1,precision,recall,accuracy,fpr,tp,tn,fp,fn,n_alerted_tp,n_vishing,frac_alerted_before_end,mean_alert_latency,median_alert_latency,p95_alert_latency
egemaps,ema,0.7,0.5,0.9929078014184397,1.0,0.9859154929577465,0.9929577464788732,0.0,70,71,0,1,70,71,0.9428571428571428,16.80092857142857,15.652000000000001,28.15455
egemaps,running_max,,0.9,0.9150326797385621,0.8536585365853658,0.9859154929577465,0.9084507042253521,0.16901408450704225,70,59,12,1,70,71,0.9857142857142858,9.6234,7.835,19.881249999999994
egemaps,any_segment_baseline (τ=0.5),,0.5,0.7932960893854749,0.6574074074074074,1.0,0.7394366197183099,0.5211267605633803,71,34,37,0,71,71,1.0,8.255084507042254,7.55,15.67
egemaps,majority_vote (τ=0.5),,0.5,0.9929078014184397,1.0,0.9859154929577465,0.9929577464788732,0.0,70,71,0,1,70,71,0.0,252.2063428571428,85.82,759.9274999999998
mfcc,ema,0.7,0.5,0.9411764705882353,0.9846153846153847,0.9014084507042254,0.9436619718309859,0.014084507042253521,64,70,1,7,64,71,0.984375,18.745093750000002,17.1695,32.93824999999999
mfcc,running_max,,0.9,0.8947368421052632,0.8395061728395061,0.9577464788732394,0.8873239436619719,0.18309859154929578,68,58,13,3,68,71,0.9852941176470589,10.613132352941177,8.225,23.58664999999999
mfcc,any_segment_baseline (τ=0.5),,0.5,0.8165680473372781,0.7040816326530612,0.971830985915493,0.7816901408450704,0.4084507042253521,69,42,29,2,69,71,1.0,8.036840579710145,7.805,17.218399999999978
mfcc,majority_vote (τ=0.5),,0.5,0.9640287769784173,0.9852941176470589,0.9436619718309859,0.9647887323943662,0.014084507042253521,67,70,1,4,67,71,0.0,261.4275223880597,90.93,769.4749999999998
wav2vec2,ema,0.5,0.7,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.014084507042253521,70,70,1,1,70,71,0.9428571428571428,18.2055,16.61,32.41574999999999
wav2vec2,running_max,,0.9,0.8383233532934131,0.7291666666666666,0.9859154929577465,0.8098591549295775,0.36619718309859156,70,45,26,1,70,71,0.9857142857142858,9.857314285714285,8.58,19.78895
wav2vec2,any_segment_baseline (τ=0.5),,0.5,0.7142857142857143,0.56,0.9859154929577465,0.6056338028169014,0.7746478873239436,70,16,55,1,70,71,1.0,7.313685714285715,7.5975,12.671499999999998
wav2vec2,majority_vote (τ=0.5),,0.5,0.9722222222222222,0.958904109589041,0.9859154929577465,0.971830985915493,0.04225352112676056,70,68,3,1,70,71,0.0,252.2063428571428,85.82,759.9274999999998
all,ema,0.7,0.5,0.9929078014184397,1.0,0.9859154929577465,0.9929577464788732,0.0,70,71,0,1,70,71,0.9428571428571428,16.09065714285714,15.652000000000001,27.152949999999997
all,running_max,,0.9,0.9523809523809523,0.9210526315789473,0.9859154929577465,0.9507042253521126,0.08450704225352113,70,65,6,1,70,71,0.9857142857142858,8.626057142857142,7.6125,19.092549999999996
all,any_segment_baseline (τ=0.5),,0.5,0.8695652173913043,0.7777777777777778,0.9859154929577465,0.852112676056338,0.28169014084507044,70,51,20,1,70,71,1.0,7.337399999999999,7.6125,11.822249999999997
all,majority_vote (τ=0.5),,0.5,0.9929078014184397,1.0,0.9859154929577465,0.9929577464788732,0.0,70,71,0,1,70,71,0.0,252.2063428571428,85.82,759.9274999999998
