feature_type,method,alpha,tau,f1,precision,recall,accuracy,fpr,tp,tn,fp,fn,n_alerted_tp,n_vishing,frac_alerted_before_end,mean_alert_latency,median_alert_latency,p95_alert_latency
egemaps,ema,0.3,0.3,0.6666666666666666,0.5,1.0,0.5,1.0,71,0,71,0,71,71,1.0,7.236873239436619,7.515,11.7725
egemaps,running_max,,0.9,0.6666666666666666,0.5,1.0,0.5,1.0,71,0,71,0,71,71,1.0,7.751802816901411,7.515,13.1245
egemaps,any_segment_baseline (τ=0.5),,0.5,0.6666666666666666,0.5,1.0,0.5,1.0,71,0,71,0,71,71,1.0,7.236873239436619,7.515,11.7725
egemaps,majority_vote (τ=0.5),,0.5,0.6666666666666666,0.5,1.0,0.5,1.0,71,0,71,0,71,71,0.0,248.84540845070413,81.79,756.745
mfcc,ema,0.3,0.3,0.6859903381642513,0.5220588235294118,1.0,0.5422535211267606,0.9154929577464789,71,6,65,0,71,71,1.0,7.275577464788733,7.515,11.7725
mfcc,running_max,,0.3,0.6729857819905213,0.5071428571428571,1.0,0.5140845070422535,0.971830985915493,71,2,69,0,71,71,1.0,7.275577464788733,7.515,11.7725
mfcc,any_segment_baseline (τ=0.5),,0.5,0.6729857819905213,0.5071428571428571,1.0,0.5140845070422535,0.971830985915493,71,2,69,0,71,71,0.9859154929577465,7.853394366197185,7.515,11.7725
mfcc,majority_vote (τ=0.5),,0.5,0.6829268292682927,0.5223880597014925,0.9859154929577465,0.5422535211267606,0.9014084507042254,70,7,64,1,70,71,0.0,251.5813428571428,85.82,759.9274999999998
wav2vec2,ema,0.5,0.7,0.9565217391304348,0.9850746268656716,0.9295774647887324,0.9577464788732394,0.014084507042253521,66,70,1,5,66,71,0.9545454545454546,16.832560606060603,16.82,28.599999999999998
wav2vec2,running_max,,0.9,0.8433734939759037,0.7368421052631579,0.9859154929577465,0.8169014084507042,0.352112676056338,70,46,25,1,70,71,0.9714285714285714,9.986785714285713,8.879999999999999,22.074749999999987
wav2vec2,any_segment_baseline (τ=0.5),,0.5,0.6995073891625616,0.5378787878787878,1.0,0.5704225352112676,0.8591549295774648,71,10,61,0,71,71,1.0,7.56674647887324,7.865,13.1245
wav2vec2,majority_vote (τ=0.5),,0.5,0.9594594594594594,0.922077922077922,1.0,0.9577464788732394,0.08450704225352113,71,65,6,0,71,71,0.0,248.84540845070413,81.79,756.745
all,ema,0.3,0.3,0.6761904761904762,0.5107913669064749,1.0,0.5211267605633803,0.9577464788732394,71,3,68,0,71,71,1.0,7.236873239436619,7.515,11.7725
all,running_max,,0.5,0.6666666666666666,0.5,1.0,0.5,1.0,71,0,71,0,71,71,1.0,7.236873239436619,7.515,11.7725
all,any_segment_baseline (τ=0.5),,0.5,0.6666666666666666,0.5,1.0,0.5,1.0,71,0,71,0,71,71,1.0,7.236873239436619,7.515,11.7725
all,majority_vote (τ=0.5),,0.5,0.6698113207547169,0.5035460992907801,1.0,0.5070422535211268,0.9859154929577465,71,1,70,0,71,71,0.0,248.84540845070413,81.79,756.745
