method,source,label_in_source,n,n_predicted_vishing,metric_name,metric_value,missed,feature_type
"ema (α=0.3, τ=0.3)",FSS,1,71,71,recall (TPR),1.0,0,egemaps
"ema (α=0.3, τ=0.3)",AllHub,0,71,1,specificity (TNR) = 1 − FPR,0.9859,1,egemaps
running_max (τ=0.9),FSS,1,71,71,recall (TPR),1.0,0,egemaps
running_max (τ=0.9),AllHub,0,71,2,specificity (TNR) = 1 − FPR,0.9718,2,egemaps
"ema (α=0.3, τ=0.3)",FSS,1,71,71,recall (TPR),1.0,0,mfcc
"ema (α=0.3, τ=0.3)",AllHub,0,71,1,specificity (TNR) = 1 − FPR,0.9859,1,mfcc
running_max (τ=0.3),FSS,1,71,71,recall (TPR),1.0,0,mfcc
running_max (τ=0.3),AllHub,0,71,6,specificity (TNR) = 1 − FPR,0.9155,6,mfcc
"ema (α=0.5, τ=0.7)",FSS,1,71,66,recall (TPR),0.9296,5,wav2vec2
"ema (α=0.5, τ=0.7)",AllHub,0,71,1,specificity (TNR) = 1 − FPR,0.9859,1,wav2vec2
running_max (τ=0.9),FSS,1,71,70,recall (TPR),0.9859,1,wav2vec2
running_max (τ=0.9),AllHub,0,71,14,specificity (TNR) = 1 − FPR,0.8028,14,wav2vec2
"ema (α=0.3, τ=0.3)",FSS,1,71,71,recall (TPR),1.0,0,all
"ema (α=0.3, τ=0.3)",AllHub,0,71,0,specificity (TNR) = 1 − FPR,1.0,0,all
running_max (τ=0.5),FSS,1,71,71,recall (TPR),1.0,0,all
running_max (τ=0.5),AllHub,0,71,1,specificity (TNR) = 1 − FPR,0.9859,1,all
