feature_type,method,alpha,tau,f1,precision,recall,accuracy,fpr,tp,tn,fp,fn,n_alerted_tp,n_vishing,frac_alerted_before_end,mean_alert_latency,median_alert_latency,p95_alert_latency
egemaps,ema,0.3,0.5,0.9893992932862191,0.9929078014184397,0.9859154929577465,0.9894366197183099,0.007042253521126761,140,141,1,2,140,142,1.0,7.202671428571428,7.827500000000001,12.29749999999999
egemaps,running_max,,0.9,0.9690721649484536,0.9463087248322147,0.9929577464788732,0.9683098591549296,0.056338028169014086,141,134,8,1,141,142,1.0,7.342539007092197,7.865,13.26
egemaps,any_segment_baseline (τ=0.5),,0.5,0.94,0.8924050632911392,0.9929577464788732,0.9366197183098591,0.11971830985915492,141,125,17,1,141,142,1.0,7.235382978723403,7.865,12.27
egemaps,majority_vote (τ=0.5),,0.5,0.9964664310954063,1.0,0.9929577464788732,0.9964788732394366,0.0,141,142,0,1,141,142,0.0,222.94819148936173,94.11,779.6
mfcc,ema,0.3,0.3,0.9791666666666666,0.9657534246575342,0.9929577464788732,0.9788732394366197,0.035211267605633804,141,137,5,1,141,142,1.0,7.162929078014184,7.79,12.24
mfcc,running_max,,0.9,0.9861111111111112,0.9726027397260274,1.0,0.9859154929577465,0.028169014084507043,142,138,4,0,142,142,1.0,7.454035211267605,7.827500000000001,12.2685
mfcc,any_segment_baseline (τ=0.5),,0.5,0.9562289562289562,0.9161290322580645,1.0,0.954225352112676,0.09154929577464789,142,129,13,0,142,142,1.0,7.19569014084507,7.827500000000001,12.2385
mfcc,majority_vote (τ=0.5),,0.5,0.9894736842105263,0.986013986013986,0.9929577464788732,0.9894366197183099,0.014084507042253521,141,140,2,1,141,142,0.0,222.96436170212766,94.11,779.6
wav2vec2,ema,0.7,0.5,0.936026936026936,0.896774193548387,0.9788732394366197,0.9330985915492958,0.11267605633802817,139,126,16,3,139,142,0.9712230215827338,19.532158273381295,20.1,30.7171
wav2vec2,running_max,,0.9,0.8294117647058824,0.7121212121212122,0.9929577464788732,0.795774647887324,0.4014084507042254,141,85,57,1,141,142,0.9858156028368794,10.240666666666664,8.76,25.39
wav2vec2,any_segment_baseline (τ=0.5),,0.5,0.7012345679012346,0.5399239543726235,1.0,0.573943661971831,0.852112676056338,142,21,121,0,142,142,1.0,7.520401408450704,7.897,13.803249999999998
wav2vec2,majority_vote (τ=0.5),,0.5,0.9659863945578231,0.9342105263157895,1.0,0.9647887323943662,0.07042253521126761,142,132,10,0,142,142,0.0,221.67827464788732,93.745,775.056499999999
all,ema,0.3,0.3,0.9895470383275261,0.9793103448275862,1.0,0.9894366197183099,0.02112676056338028,142,139,3,0,142,142,1.0,7.245873239436619,7.897,12.2685
all,running_max,,0.9,0.9690721649484536,0.9463087248322147,0.9929577464788732,0.9683098591549296,0.056338028169014086,141,134,8,1,141,142,1.0,7.282113475177304,7.865,12.82
all,any_segment_baseline (τ=0.5),,0.5,0.9594594594594594,0.922077922077922,1.0,0.9577464788732394,0.08450704225352113,142,130,12,0,142,142,1.0,7.245873239436619,7.897,12.2685
all,majority_vote (τ=0.5),,0.5,0.9964664310954063,1.0,0.9929577464788732,0.9964788732394366,0.0,141,142,0,1,141,142,0.0,222.94819148936173,94.11,779.6
