fold,feature_type,method,alpha,tau,f1,precision,recall,fpr,mean_alert_latency,median_alert_latency
0,egemaps,ema,0.3,0.5,0.9893992932862191,0.9929078014184397,0.9859154929577465,0.007042253521126761,7.202671428571428,7.827500000000001
0,egemaps,running_max,,0.9,0.9690721649484536,0.9463087248322147,0.9929577464788732,0.056338028169014086,7.342539007092197,7.865
0,egemaps,any_segment_baseline (τ=0.5),,0.5,0.94,0.8924050632911392,0.9929577464788732,0.11971830985915492,7.235382978723403,7.865
0,egemaps,majority_vote (τ=0.5),,0.5,0.9964664310954063,1.0,0.9929577464788732,0.0,222.94819148936173,94.11
0,mfcc,ema,0.3,0.3,0.9791666666666666,0.9657534246575342,0.9929577464788732,0.035211267605633804,7.162929078014184,7.79
0,mfcc,running_max,,0.9,0.9861111111111112,0.9726027397260274,1.0,0.028169014084507043,7.454035211267605,7.827500000000001
0,mfcc,any_segment_baseline (τ=0.5),,0.5,0.9562289562289562,0.9161290322580645,1.0,0.09154929577464789,7.19569014084507,7.827500000000001
0,mfcc,majority_vote (τ=0.5),,0.5,0.9894736842105263,0.986013986013986,0.9929577464788732,0.014084507042253521,222.96436170212766,94.11
0,wav2vec2,ema,0.7,0.5,0.936026936026936,0.896774193548387,0.9788732394366197,0.11267605633802817,19.532158273381295,20.1
0,wav2vec2,running_max,,0.9,0.8294117647058824,0.7121212121212122,0.9929577464788732,0.4014084507042254,10.240666666666664,8.76
0,wav2vec2,any_segment_baseline (τ=0.5),,0.5,0.7012345679012346,0.5399239543726235,1.0,0.852112676056338,7.520401408450704,7.897
0,wav2vec2,majority_vote (τ=0.5),,0.5,0.9659863945578231,0.9342105263157895,1.0,0.07042253521126761,221.67827464788732,93.745
0,all,ema,0.3,0.3,0.9895470383275261,0.9793103448275862,1.0,0.02112676056338028,7.245873239436619,7.897
0,all,running_max,,0.9,0.9690721649484536,0.9463087248322147,0.9929577464788732,0.056338028169014086,7.282113475177304,7.865
0,all,any_segment_baseline (τ=0.5),,0.5,0.9594594594594594,0.922077922077922,1.0,0.08450704225352113,7.245873239436619,7.897
0,all,majority_vote (τ=0.5),,0.5,0.9964664310954063,1.0,0.9929577464788732,0.0,222.94819148936173,94.11
1,egemaps,ema,0.3,0.5,0.9857142857142858,0.9928057553956835,0.9787234042553191,0.006993006993006993,6.986144927536231,7.4275
1,egemaps,running_max,,0.9,0.971830985915493,0.965034965034965,0.9787234042553191,0.03496503496503497,7.138565217391305,7.51
1,egemaps,any_segment_baseline (τ=0.5),,0.5,0.9621993127147767,0.9333333333333333,0.9929078014184397,0.06993006993006994,7.090199999999999,7.4275
1,egemaps,majority_vote (τ=0.5),,0.5,0.989247311827957,1.0,0.9787234042553191,0.0,270.612036231884,85.43299999999999
1,mfcc,ema,0.3,0.3,0.9790209790209791,0.9655172413793104,0.9929078014184397,0.03496503496503497,7.112628571428573,7.4275
1,mfcc,running_max,,0.9,0.9788732394366197,0.972027972027972,0.9858156028368794,0.027972027972027972,7.240028776978416,7.47
1,mfcc,any_segment_baseline (τ=0.5),,0.5,0.958904109589041,0.9271523178807947,0.9929078014184397,0.07692307692307693,7.2302357142857145,7.4275
1,mfcc,majority_vote (τ=0.5),,0.5,0.989247311827957,1.0,0.9787234042553191,0.0,270.37399275362316,85.43299999999999
1,wav2vec2,ema,0.7,0.5,0.9427609427609428,0.8974358974358975,0.9929078014184397,0.11188811188811189,19.286671428571427,19.08
1,wav2vec2,running_max,,0.9,0.8641975308641975,0.7650273224043715,0.9929078014184397,0.3006993006993007,10.253685714285714,8.635
1,wav2vec2,any_segment_baseline (τ=0.5),,0.5,0.6997518610421837,0.5381679389312977,1.0,0.8461538461538461,7.4414326241134745,7.64
1,wav2vec2,majority_vote (τ=0.5),,0.5,0.9724137931034482,0.9463087248322147,1.0,0.055944055944055944,265.6112127659574,79.53
1,all,ema,0.3,0.3,0.9964664310954063,0.9929577464788732,1.0,0.006993006993006993,7.166723404255319,7.47
1,all,running_max,,0.5,0.9825783972125436,0.9657534246575342,1.0,0.03496503496503497,7.166723404255319,7.47
1,all,any_segment_baseline (τ=0.5),,0.5,0.9825783972125436,0.9657534246575342,1.0,0.03496503496503497,7.166723404255319,7.47
1,all,majority_vote (τ=0.5),,0.5,0.99644128113879,1.0,0.9929078014184397,0.0,267.2659357142857,81.43
2,egemaps,ema,0.7,0.5,0.9708029197080292,1.0,0.9432624113475178,0.0,15.564533834586467,15.479
2,egemaps,running_max,,0.9,0.9540636042402827,0.9507042253521126,0.9574468085106383,0.04929577464788732,7.927222222222223,7.94
2,egemaps,any_segment_baseline (τ=0.5),,0.5,0.9480968858131488,0.9256756756756757,0.9716312056737588,0.07746478873239436,7.690956204379562,7.76
2,egemaps,majority_vote (τ=0.5),,0.5,0.9745454545454545,1.0,0.950354609929078,0.0,233.15347014925374,74.67
2,mfcc,ema,0.5,0.3,0.9824561403508771,0.9722222222222222,0.9929078014184397,0.028169014084507043,7.453528571428572,7.725
2,mfcc,running_max,,0.9,0.975609756097561,0.958904109589041,0.9929078014184397,0.04225352112676056,7.698421428571429,7.725
2,mfcc,any_segment_baseline (τ=0.5),,0.5,0.9431438127090301,0.8924050632911392,1.0,0.11971830985915492,7.844035460992908,7.74
2,mfcc,majority_vote (τ=0.5),,0.5,0.99644128113879,1.0,0.9929078014184397,0.0,226.54889285714282,73.755
2,wav2vec2,ema,0.5,0.7,0.929368029739777,0.9765625,0.8865248226950354,0.02112676056338028,18.396728,17.11
2,wav2vec2,running_max,,0.9,0.8553459119496856,0.768361581920904,0.9645390070921985,0.2887323943661972,11.218698529411764,9.3195
2,wav2vec2,any_segment_baseline (τ=0.5),,0.5,0.7175572519083969,0.5595238095238095,1.0,0.7816901408450704,7.9682695035461,7.785
2,wav2vec2,majority_vote (τ=0.5),,0.5,0.9652777777777778,0.9455782312925171,0.9858156028368794,0.056338028169014086,228.44241007194245,73.93
2,all,ema,0.3,0.3,0.9823321554770318,0.9788732394366197,0.9858156028368794,0.02112676056338028,7.5530503597122305,7.74
2,all,running_max,,0.9,0.9752650176678446,0.971830985915493,0.9787234042553191,0.028169014084507043,7.356550724637681,7.725
2,all,any_segment_baseline (τ=0.5),,0.5,0.9655172413793104,0.9395973154362416,0.9929078014184397,0.06338028169014084,7.945635714285715,7.75
2,all,majority_vote (τ=0.5),,0.5,0.989247311827957,1.0,0.9787234042553191,0.0,228.9902536231884,73.755
3,egemaps,ema,0.3,0.3,0.9714285714285714,0.9784172661870504,0.9645390070921985,0.02112676056338028,7.607183823529412,8.077
3,egemaps,running_max,,0.9,0.971830985915493,0.965034965034965,0.9787234042553191,0.035211267605633804,8.090275362318842,8.266
3,egemaps,any_segment_baseline (τ=0.5),,0.5,0.9527027027027027,0.9096774193548387,1.0,0.09859154929577464,10.387950354609929,8.147
3,egemaps,majority_vote (τ=0.5),,0.5,0.9819494584837545,1.0,0.9645390070921985,0.0,261.9931544117647,92.015
